,x,y
0,0.5079790257457546,2.238321023517922
1,2.081478226181048,-13.10426939761906
2,-2.0909526108705565,-10.895881210257501
3,0.10827605197663015,-1.5800978086275939
4,3.9294695434765465,9.17492788702926
5,3.9629308893343804,3.2370858360300008
6,-3.7441468953616375,-72.55687501358254
7,-2.9275712186181324,-29.93468342821784
8,-4.485327966991701,-125.27594349671025
9,-0.5919015634936358,1.586947996481073
10,-4.701237891214331,-155.1929256099455
11,-0.43166775605288876,0.7379402706380513
12,1.4914404761476074,-3.133556636626203
13,-2.215127173520247,2.7725838449785654
14,1.7625490198013125,-13.629526274058435
15,0.9086281741635087,-7.81882486538416
16,-4.760181176228347,-162.08424112403452
17,0.5885408799088196,-15.192639562480117
18,-2.407475530925346,-15.690391070415025
19,-0.8489880298993038,-2.2591059729459593
